t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2455.445,0.1928438,-9.720459,-0.3303998,2.202666,0.04048005,-0.05006743,-0.02237055,335,-983,-17
2455.449,0.19675,-9.782708,-0.3351882,2.197877,0.03728426,-0.04474111,-0.01704423,315,-1048,44
2455.453,0.2006563,-9.782708,-0.3639187,2.236184,0.03621899,-0.0479369,-0.01597897,307,-1039,55
2455.457,0.2045625,-9.811438,-0.3256114,2.1883,0.03408846,-0.05965481,-0.01597897,272,-1011,44
2455.461,0.2084688,-9.80665,-0.3926491,2.183512,0.02876214,-0.05858954,-0.01384844,241,-1036,11
2455.465,0.212375,-9.753978,-0.3782839,2.135628,0.02876214,-0.05645902,-0.01171791,334,-1047,59
2455.469,0.2162813,-9.758766,-0.4309563,2.164358,0.03089267,-0.0628506,-0.01278317,335,-1065,37
2455.473,0.2201875,-9.753978,-0.3830723,2.121263,0.02876214,-0.06711166,-0.00958738,255,-987,101
2455.477,0.2240938,-9.749189,-0.4261679,2.102109,0.02876214,-0.05965481,-0.00958738,252,-1024,-5
2455.48,0.228,-9.701305,-0.4596867,2.035071,0.03089267,-0.0628506,-0.01065264,287,-1053,44
2455.484,0.2319063,-9.629479,-0.4979939,2.015918,0.02769688,-0.06711166,-0.01065264,284,-1074,34
2455.488,0.2358125,-9.648633,-0.4932055,2.06859,0.0298274,-0.05858954,-0.008522115,275,-1043,85
2455.492,0.2397188,-9.56723,-0.5506664,2.044648,0.0330232,-0.05539375,-0.008522115,286,-1022,54
2455.496,0.243625,-9.610325,-0.56982,2.020706,0.0330232,-0.06178534,-0.008522115,254,-1025,41
2455.5,0.2475313,-9.591172,-0.56982,2.073379,0.03408846,-0.05752428,-0.01065264,265,-1041,50
2455.504,0.2514375,-9.557653,-0.5985504,2.054225,0.03089267,-0.0479369,-0.01065264,293,-1042,57
2455.508,0.2553438,-9.533711,-0.6464344,2.030283,0.03515373,-0.05113269,-0.01384844,239,-1062,88
2455.512,0.25925,-9.643844,-0.6607997,1.972822,0.03728426,-0.05752428,-0.01597897,261,-1042,9
2455.516,0.2631563,-9.610325,-0.7038953,1.996764,0.03621899,-0.05326322,-0.01597897,249,-999,14
2455.52,0.2670625,-9.672575,-0.7038953,2.020706,0.03941478,-0.05113269,-0.01384844,334,-1065,21
2455.523,0.2709688,-9.71567,-0.7565677,2.030283,0.04261058,-0.0628506,-0.02237055,298,-1070,80
2455.527,0.274875,-9.782708,-0.7852981,2.116474,0.04154531,-0.0660464,-0.02237055,260,-1008,56
2455.531,0.2787813,-9.80665,-0.7757213,2.087744,0.04474111,-0.06498113,-0.02237055,255,-1015,9
2455.535,0.2826875,-9.888053,-0.8092402,2.145205,0.04367584,-0.07669904,-0.02876214,300,-1091,9
2455.539,0.2865938,-10.04607,-0.818817,2.217031,0.04687164,-0.08735168,-0.03621899,336,-1067,23
2455.543,0.2905,-10.13705,-0.842759,2.269703,0.04154531,-0.09267801,-0.03834952,272,-1070,45
2455.547,0.2944063,-10.23282,-0.7900865,2.331952,0.04048005,-0.1065264,-0.04474111,263,-986,36
2455.551,0.2983125,-10.32859,-0.7709329,2.39899,0.04048005,-0.1267665,-0.05432849,302,-1026,20
2455.555,0.3022188,-10.47703,-0.7134721,2.5187,0.0330232,-0.144876,-0.06391587,324,-1015,19
2455.559,0.306125,-10.47703,-0.6943185,2.504335,0.02663161,-0.1619202,-0.07030745,294,-1050,64
2455.562,0.3100313,-10.64462,-0.6847417,2.604891,0.02130529,-0.1917476,-0.08309063,271,-1009,50
