t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2437.426,0.202375,-10.18493,1.340753,-1.996764,-0.3760383,0.005326322,0.2247708,492,732,75
2437.43,0.2062812,-10.12268,1.096544,-1.934515,-0.3888215,-0.01065264,0.2290319,403,769,113
2437.434,0.2101875,-10.16578,0.9050082,-1.987187,-0.3941478,-0.02876214,0.2364887,476,780,46
2437.438,0.2140937,-10.06044,0.6320692,-1.944092,-0.3792341,-0.04048005,0.2460761,537,792,92
2437.441,0.218,-9.92636,0.4357447,-1.987187,-0.3536678,-0.05219796,0.2535329,454,764,78
2437.445,0.2219062,-9.89763,0.2777274,-2.03986,-0.3238404,-0.04900216,0.2631203,465,770,85
2437.449,0.2258125,-9.89763,0.07661445,-2.097321,-0.2822951,-0.04687164,0.2748382,475,776,95
2437.453,0.2297187,-9.830592,-0.1388637,-2.140416,-0.2205097,-0.04154531,0.2908172,452,768,88
2437.457,0.233625,-9.821015,-0.2681506,-2.217031,-0.1715076,-0.03621899,0.3036004,489,787,104
2437.461,0.2375312,-9.734824,-0.320823,-2.269703,-0.1150486,-0.03728426,0.3153183,460,783,80
2437.465,0.2414375,-9.691728,-0.3687071,-2.336741,-0.03728426,-0.03515373,0.3376888,497,771,86
2437.469,0.2453437,-9.615114,-0.3303998,-2.413355,0.02769688,-0.03515373,0.3557983,452,777,75
2437.473,0.24925,-9.610325,-0.2920926,-2.499547,0.09693906,-0.02556635,0.3739078,474,777,123
2437.477,0.2531562,-9.572018,-0.3543418,-2.504335,0.1661813,-0.008522115,0.3952131,473,800,68
2437.48,0.2570625,-9.615114,-0.3064578,-2.509123,0.2514024,0.01065264,0.4186489,489,769,103
2437.484,0.2609687,-9.667786,-0.296881,-2.542642,0.3057309,0.02876214,0.4367584,494,754,90
2437.488,0.264875,-9.667786,-0.2298434,-2.475605,0.3643204,0.03515373,0.4548679,478,781,72
2437.492,0.2687812,-9.653421,-0.1244985,-2.566584,0.4346279,0.04367584,0.4825648,484,756,101
2437.496,0.2726875,-9.576807,-0.06703765,-2.504335,0.4889564,0.04474111,0.499609,447,804,101
2437.5,0.2765937,-9.610325,0.03830723,-2.48997,0.5347627,0.04367584,0.5187838,462,764,77
2437.504,0.2805,-9.548076,0.06224924,-2.480393,0.572047,0.05113269,0.535828,477,755,103
2437.508,0.2844062,-9.504981,0.1580173,-2.413355,0.6061355,0.06391587,0.551807,463,793,104
2437.512,0.2883125,-9.452308,0.2873042,-2.413355,0.6157228,0.07137272,0.5645902,478,771,87
2437.516,0.2922187,-9.433155,0.3639187,-2.245761,0.6135923,0.08309063,0.5741775,447,790,93
2437.52,0.296125,-9.385271,0.4596867,-2.1883,0.5848302,0.08948221,0.5837649,500,767,78
2437.523,0.3000312,-9.442731,0.6368576,-2.145205,0.5581986,0.09374327,0.5816344,458,775,84
2437.527,0.3039375,-9.471462,0.8379706,-2.015918,0.5251754,0.09800433,0.5763081,505,784,78
2437.531,0.3078437,-9.552865,1.024718,-2.049437,0.4814995,0.1022654,0.5752428,457,775,102
2437.535,0.31175,-9.610325,1.173159,-1.92015,0.4165184,0.1065264,0.5677859,443,778,83
2437.539,0.3156562,-9.662998,1.225831,-1.795651,0.3653857,0.1043959,0.5603291,449,753,112
2437.543,0.3195625,-9.782708,1.335965,-1.714248,0.3067962,0.1001349,0.5486112,440,785,92
