t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2441.805,0.1914062,-4.003105,-5.674258,8.221689,-0.04900216,-0.04154531,-0.05965481,8,608,-501
2441.809,0.1953125,-4.141969,-5.631162,8.269573,-0.0479369,-0.0330232,-0.05752428,-32,585,-521
2441.812,0.1992188,-4.232949,-5.506664,8.274361,-0.04900216,-0.02769688,-0.06072007,17,557,-542
2441.816,0.203125,-4.189853,-5.48751,8.350975,-0.05645902,-0.03195793,-0.06498113,23,545,-470
2441.82,0.2070312,-4.156334,-5.473145,8.283938,-0.05965481,-0.0298274,-0.07030745,14,555,-530
2441.824,0.2109375,-4.01747,-5.401319,8.269573,-0.06391587,-0.02450108,-0.07243798,-1,575,-516
2441.828,0.2148438,-3.969586,-5.468357,8.269573,-0.0628506,-0.02024002,-0.07243798,-61,581,-550
2441.832,0.21875,-3.912126,-5.401319,8.269573,-0.06072007,-0.02130529,-0.06817692,13,553,-543
2441.836,0.2226562,-3.974375,-5.401319,8.221689,-0.05752428,-0.02024002,-0.0628506,-3,531,-511
2441.84,0.2265625,-4.065354,-5.300762,8.288726,-0.05539375,-0.00958738,-0.06072007,11,548,-505
2441.844,0.2304688,-4.122815,-5.24809,8.33661,-0.05752428,-0.01384844,-0.06072007,-15,559,-529
2441.848,0.234375,-4.103662,-5.24809,8.355764,-0.05965481,-0.0149137,-0.05965481,23,589,-533
2441.852,0.2382812,-4.046201,-5.257667,8.327033,-0.06711166,-0.0149137,-0.0660464,-5,533,-505
2441.855,0.2421875,-4.012682,-5.300762,8.322245,-0.07243798,-0.01278317,-0.0660464,-5,566,-542
2441.859,0.2460938,-3.955221,-5.358223,8.269573,-0.07350325,-0.0181095,-0.0628506,-30,568,-524
2441.863,0.25,-3.892972,-5.406107,8.183381,-0.0660464,-0.01917476,-0.05858954,-4,565,-529
2441.867,0.2539062,-3.86903,-5.391742,8.173804,-0.05965481,-0.01704423,-0.05432849,27,601,-510
2441.871,0.2578125,-3.950433,-5.401319,8.18817,-0.05645902,-0.0149137,-0.04687164,-6,529,-516
2441.875,0.2617188,-3.969586,-5.3678,8.159439,-0.04900216,-0.02024002,-0.05113269,-28,559,-536
2441.879,0.265625,-3.993528,-5.348647,8.169016,-0.04367584,-0.01704423,-0.05006743,-32,563,-506
2441.883,0.2695312,-3.859453,-5.343858,8.178593,-0.03834952,-0.01384844,-0.04580637,-43,624,-522
2441.887,0.2734375,-3.916914,-5.27682,8.183381,-0.03408846,-0.01171791,-0.04261058,10,569,-503
2441.891,0.2773438,-3.888183,-5.185841,8.236054,-0.02769688,-0.007456851,-0.03515373,71,543,-548
2441.895,0.28125,-3.902549,-5.104438,8.264784,-0.02769688,0,-0.0330232,-40,599,-525
2441.898,0.2851562,-3.983952,-5.094861,8.331822,-0.0330232,0.002130529,-0.03515373,-2,597,-508
2441.902,0.2890625,-3.936068,-5.027823,8.341399,-0.03408846,-0.005326322,-0.03621899,-54,592,-557
2441.906,0.2929688,-3.96001,-5.080496,8.298303,-0.03621899,0,-0.0330232,-7,547,-512
2441.91,0.296875,-3.940856,-5.152322,8.298303,-0.03408846,0.004261058,-0.03515373,22,550,-506
2441.914,0.3007812,-3.940856,-5.118803,8.269573,-0.03834952,0.008522115,-0.03621899,-7,558,-515
2441.918,0.3046875,-3.993528,-5.051766,8.279149,-0.03728426,0.008522115,-0.03408846,-3,592,-528
2441.922,0.3085938,-3.964798,-5.023035,8.240842,-0.03941478,0.007456851,-0.03728426,-1,593,-559
2441.926,0.3125,-3.945644,-5.133168,8.293515,-0.04154531,0.006391587,-0.03515373,25,559,-548
2441.93,0.3164062,-3.873818,-5.15711,8.255207,-0.03941478,0.008522115,-0.0330232,-4,553,-512
2441.934,0.3203125,-3.931279,-5.181052,8.212112,-0.03834952,0.007456851,-0.03089267,14,556,-488
2441.938,0.3242188,-3.936068,-5.185841,8.202535,-0.03408846,0.007456851,-0.02769688,21,618,-501
2441.941,0.328125,-3.921702,-5.257667,8.202535,-0.03089267,0.005326322,-0.02130529,34,550,-547
2441.945,0.3320312,-3.907337,-5.291186,8.226477,-0.02450108,0.003195793,-0.0181095,5,552,-537
2441.949,0.3359375,-3.902549,-5.291186,8.154651,-0.01917476,0.002130529,-0.0149137,32,599,-518
2441.953,0.3398438,-3.907337,-5.267244,8.12592,-0.008522115,0.004261058,-0.008522115,39,566,-502
2441.957,0.34375,-3.974375,-5.281609,8.12592,-0.001065264,-0.001065264,-0.004261058,-11,574,-510
2441.961,0.3476562,-3.969586,-5.324704,8.12592,0.007456851,-0.006391587,0,8,569,-516
2441.965,0.3515625,-3.926491,-5.343858,8.082825,0.0149137,-0.01384844,0.006391587,-29,532,-513
2441.969,0.3554688,-3.883395,-5.382165,8.106767,0.02663161,-0.01171791,0.01384844,3,573,-518
2441.973,0.359375,-3.864241,-5.286397,8.140286,0.0330232,-0.0149137,0.01917476,50,577,-496
2441.977,0.3632812,-3.892972,-5.33907,8.09719,0.04261058,-0.01917476,0.02556635,8,551,-526
2441.98,0.3671875,-3.945644,-5.315128,8.164228,0.05113269,-0.02237055,0.0298274,35,598,-507
2441.984,0.3710938,-3.969586,-5.343858,8.202535,0.05858954,-0.02450108,0.03089267,11,552,-514
2441.988,0.375,-3.974375,-5.348647,8.063671,0.0660464,-0.03089267,0.03408846,-41,558,-480
2441.992,0.3789062,-3.96001,-5.406107,8.111555,0.07137272,-0.03089267,0.03728426,-19,555,-544
2441.996,0.3828125,-3.888183,-5.420473,8.116344,0.07882957,-0.02769688,0.04261058,22,559,-516
2442,0.3867188,-3.936068,-5.410896,8.169016,0.08628642,-0.02556635,0.04367584,-11,524,-515
2442.004,0.390625,-3.979163,-5.319916,8.164228,0.09693906,-0.03515373,0.05006743,6,548,-519
2442.008,0.3945312,-3.955221,-5.286397,8.121132,0.1001349,-0.03834952,0.05432849,-13,587,-477
2442.012,0.3984375,-3.86903,-5.353435,8.135497,0.1065264,-0.03834952,0.05432849,-29,579,-502
2442.016,0.4023438,-3.849876,-5.358223,8.049306,0.112918,-0.03834952,0.05645902,44,578,-504
2442.02,0.40625,-3.859453,-5.391742,8.09719,0.1310275,-0.04900216,0.06391587,-5,526,-532
2442.023,0.4101562,-3.730166,-5.444415,8.154651,0.1438107,-0.05326322,0.0777643,28,533,-495
2442.027,0.4140625,-3.725378,-5.525817,8.106767,0.1502023,-0.05752428,0.08628642,-30,591,-511
2442.031,0.4179688,-3.811569,-5.267244,8.183381,0.1629855,-0.05858954,0.09800433,-2,564,-516
2442.035,0.421875,-3.945644,-5.272032,8.221689,0.1715076,-0.05965481,0.1033307,25,577,-546
2442.039,0.4257812,-3.96001,-5.224148,8.288726,0.1757686,-0.06072007,0.1054612,10,559,-502
2442.043,0.4296875,-4.094085,-5.257667,8.231265,0.1747034,-0.06178534,0.1022654,-48,558,-543
2442.047,0.4335938,-4.027047,-5.21936,8.288726,0.1757686,-0.06711166,0.09906959,-14,587,-484
2442.051,0.4375,-3.974375,-5.214571,8.279149,0.1736381,-0.07137272,0.09906959,-24,574,-505
2442.055,0.4414062,-3.969586,-5.262455,8.236054,0.1789644,-0.07243798,0.1001349,5,565,-522
2442.059,0.4453125,-3.936068,-5.377377,8.183381,0.1874865,-0.07137272,0.1033307,-20,521,-493
2442.062,0.4492188,-3.936068,-5.305551,8.178593,0.1928129,-0.07243798,0.1043959,-39,558,-495
2442.066,0.453125,-3.998317,-5.228936,8.192958,0.1981392,-0.06711166,0.1043959,-33,564,-542
2442.07,0.4570312,-4.07972,-5.152322,8.283938,0.1992044,-0.06498113,0.1054612,32,590,-538
2442.074,0.4609375,-4.089296,-5.152322,8.30788,0.1981392,-0.07030745,0.1022654,17,526,-550
2442.078,0.4648438,-4.055778,-5.137957,8.341399,0.2045308,-0.07350325,0.09800433,12,532,-493
2442.082,0.46875,-3.950433,-5.209783,8.322245,0.2045308,-0.08522115,0.0958738,14,553,-536
2442.086,0.4726562,-3.940856,-5.166687,8.255207,0.2045308,-0.09480853,0.09906959,-17,591,-550
2442.09,0.4765625,-3.950433,-5.200206,8.255207,0.2066613,-0.09906959,0.1022654,-25,606,-535
2442.094,0.4804688,-3.998317,-5.228936,8.264784,0.2119876,-0.1043959,0.1054612,11,556,-532
2442.098,0.484375,-4.060566,-5.272032,8.212112,0.2119876,-0.1054612,0.1033307,5,541,-486
2442.102,0.4882812,-4.141969,-5.104438,8.274361,0.2130529,-0.1075917,0.1001349,-14,595,-523
2442.105,0.4921875,-4.223372,-5.003881,8.360552,0.2087918,-0.1182444,0.0958738,-35,616,-555
2442.109,0.4960938,-4.103662,-5.075708,8.437167,0.2034655,-0.1320928,0.08841695,4,553,-525
2442.113,0.5,-3.907337,-5.190629,8.279149,0.2066613,-0.1374191,0.08415589,22,555,-525
2442.117,0.5039062,-3.773262,-5.329493,8.283938,0.2119876,-0.1416802,0.09161274,-27,536,-495
2442.121,0.5078125,-3.734955,-5.631162,8.207323,0.2300971,-0.1565939,0.1107875,-29,605,-498
2442.125,0.5117188,-3.873818,-5.60722,8.183381,0.2428803,-0.1523328,0.1225054,-36,601,-553
2442.129,0.515625,-4.01747,-5.410896,8.250419,0.2556635,-0.1512675,0.1342233,-1,551,-538
2442.133,0.5195312,-4.237737,-5.262455,8.365341,0.2663161,-0.1715076,0.1352886,21,552,-514
2442.137,0.5234375,-4.170699,-5.291186,8.322245,0.2695119,-0.185356,0.128897,-19,566,-529
2442.141,0.5273438,-4.084508,-5.358223,8.250419,0.2769688,-0.1970739,0.1267665,48,577,-497
2442.145,0.53125,-3.902549,-5.477933,8.274361,0.2876214,-0.2119876,0.1320928,-3,577,-529
2442.148,0.5351562,-3.892972,-5.410896,8.312668,0.2961435,-0.2151834,0.1374191,-60,517,-560
2442.152,0.5390625,-3.916914,-5.075708,8.413225,0.2950782,-0.2066613,0.1395496,-7,613,-484
2442.156,0.5429688,-3.950433,-4.79798,8.5473,0.2897519,-0.2034655,0.1384844,-32,573,-515
2442.16,0.546875,-3.86903,-4.850653,8.542512,0.2769688,-0.2034655,0.1278317,-19,576,-546
2442.164,0.5507812,-3.883395,-4.721366,8.508993,0.2695119,-0.1928129,0.1225054,54,596,-537
2442.168,0.5546875,-3.859453,-4.692635,8.609549,0.2588593,-0.1800297,0.1225054,13,537,-532
2442.172,0.5585938,-3.864241,-4.673482,8.657433,0.2396845,-0.1587244,0.1193096,8,570,-469
2442.176,0.5625,-3.768473,-4.577714,8.690952,0.2226403,-0.1459412,0.1097222,2,545,-483
2442.18,0.5664062,-3.744531,-4.510676,8.609549,0.2087918,-0.1374191,0.1065264,-18,587,-535
2442.184,0.5703125,-3.873818,-4.91769,8.566454,0.1970739,-0.1065264,0.1107875,31,558,-523
2442.188,0.5742188,-3.907337,-5.0374,8.595184,0.1938781,-0.09906959,0.1097222,-40,557,-511
2442.191,0.578125,-3.983952,-4.750096,8.585607,0.185356,-0.08415589,0.1150486,9,577,-523
2442.195,0.5820312,-3.931279,-4.481946,8.662222,0.1683118,-0.07030745,0.1214401,-68,567,-504
2442.199,0.5859375,-3.758897,-4.616021,8.676587,0.1502023,-0.06072007,0.1150486,-70,584,-559
2442.203,0.5898438,-3.806781,-4.711789,8.676587,0.1352886,-0.04048005,0.1171791,-16,575,-555
