t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2492.867,0.1914062,-9.782708,-0.914585,-0.1580173,0.006391587,0.01065264,0.001065264,894,-653,522
2492.871,0.1953125,-9.811438,-0.9097966,-0.1723825,0.007456851,0.01065264,0.001065264,906,-621,545
2492.875,0.1992188,-9.787496,-0.890643,-0.1628057,0.008522115,0.01171791,0.001065264,880,-617,491
2492.879,0.203125,-9.821015,-0.890643,-0.1628057,0.01065264,0.01065264,0,922,-631,524
2492.883,0.2070312,-9.744401,-0.9097966,-0.1675941,0.01171791,0.00958738,0.001065264,907,-625,502
2492.887,0.2109375,-9.758766,-0.8619126,-0.1484405,0.01065264,0.01065264,0,928,-645,530
2492.891,0.2148438,-9.753978,-0.8523358,-0.1675941,0.01278317,0.01065264,0,894,-622,500
2492.895,0.21875,-9.782708,-0.866701,-0.1675941,0.01171791,0.00958738,0.002130529,887,-625,511
2492.898,0.2226562,-9.753978,-0.8810662,-0.1244985,0.01065264,0.007456851,0.003195793,904,-679,535
2492.902,0.2265625,-9.797073,-0.8858546,-0.1388637,0.01171791,0.01065264,0.002130529,935,-643,506
2492.906,0.2304688,-9.744401,-0.842759,-0.2346318,0.01171791,0.01171791,0,917,-657,491
2492.91,0.234375,-9.749189,-0.842759,-0.1675941,0.00958738,0.01065264,0.002130529,891,-637,514
2492.914,0.2382812,-9.749189,-0.818817,-0.2346318,0.007456851,0.01278317,0.003195793,864,-624,479
2492.918,0.2421875,-9.773131,-0.818817,-0.1819593,0.008522115,0.008522115,0.001065264,940,-657,546
2492.922,0.2460938,-9.768343,-0.842759,-0.1628057,0.006391587,0.00958738,-0.001065264,953,-645,520
2492.926,0.25,-9.739612,-0.8475474,-0.1580173,0.003195793,0.01171791,0.002130529,923,-616,508
2492.93,0.2539062,-9.787496,-0.8523358,-0.1580173,0.001065264,0.007456851,-0.002130529,878,-599,518
2492.934,0.2578125,-9.734824,-0.8379706,-0.1819593,-0.003195793,0.007456851,-0.001065264,868,-628,522
2492.938,0.2617188,-9.720459,-0.8283938,-0.1340753,-0.006391587,0.008522115,-0.001065264,951,-634,494
2492.941,0.265625,-9.730036,-0.8523358,-0.1580173,-0.01171791,0.007456851,0,899,-635,500
2492.945,0.2695312,-9.787496,-0.8571242,-0.1292869,-0.01384844,0.007456851,-0.002130529,922,-645,521
2492.949,0.2734375,-9.763554,-0.8619126,-0.1340753,-0.0149137,0.006391587,0.001065264,921,-603,504
2492.953,0.2773438,-9.725247,-0.8092402,-0.1197101,-0.0149137,0.007456851,0.001065264,908,-633,527
2492.957,0.28125,-9.758766,-0.8379706,-0.07182605,-0.01065264,0.005326322,-0.001065264,911,-656,532
2492.961,0.2851562,-9.744401,-0.8571242,-0.1532289,-0.00958738,0.006391587,-0.001065264,914,-604,529
2492.965,0.2890625,-9.753978,-0.8283938,-0.1436521,-0.003195793,0.006391587,-0.002130529,883,-634,504
2492.969,0.2929688,-9.744401,-0.8379706,-0.1628057,0,0.004261058,-0.004261058,885,-641,524
2492.973,0.296875,-9.706094,-0.8475474,-0.1819593,0.003195793,0.003195793,-0.005326322,919,-633,494
2492.977,0.3007812,-9.744401,-0.842759,-0.1819593,0.005326322,0,-0.007456851,944,-616,548
2492.98,0.3046875,-9.768343,-0.8092402,-0.1053449,0.007456851,0.001065264,-0.007456851,896,-631,503
2492.984,0.3085938,-9.710882,-0.8523358,-0.1149217,0.008522115,0,-0.005326322,950,-611,504
