t_native_s,t_opt_s,ax,ay,az,gx,gy,gz,mx,my,mz
2642.684,0.19325,-8.566454,1.766921,-0.1723825,0.8181231,-0.3589941,0.6977482,923,-636,488
2642.688,0.1971563,-8.571242,1.776498,-0.2059013,0.809601,-0.3526025,0.7179882,906,-631,497
2642.691,0.2010625,-8.614338,1.699883,-0.225055,0.7946873,-0.3355583,0.737163,908,-676,547
2642.695,0.2049688,-8.580819,1.666364,-0.1388637,0.7659251,-0.3004046,0.7563377,929,-629,514
2642.699,0.208875,-8.676587,1.584961,-0.08619126,0.737163,-0.2673814,0.7691209,906,-624,519
2642.703,0.2127813,-8.781932,1.49877,-0.05746084,0.700944,-0.2386192,0.7797736,887,-620,511
2642.707,0.2166875,-8.973468,1.398214,0,0.6593987,-0.2162487,0.7904262,918,-636,512
2642.711,0.2205938,-9.11712,1.359907,0.1292869,0.5986786,-0.205596,0.7989483,868,-642,501
2642.715,0.2245,-9.251195,1.283292,0.06224924,0.5528722,-0.2024002,0.8074704,904,-651,525
2642.719,0.2284063,-9.414001,1.149217,0.1771709,0.5060006,-0.2130529,0.8085357,913,-675,505
2642.723,0.2323125,-9.586383,1.077391,0.1628057,0.4538026,-0.2258361,0.8085357,923,-651,508
2642.727,0.2362188,-9.619902,1.015142,0.2011129,0.3845605,-0.2428803,0.8074704,898,-618,520
2642.73,0.240125,-9.59596,0.9193734,0.225055,0.3270362,-0.2545982,0.8064052,915,-644,521
2642.734,0.2440313,-9.624691,0.8475474,0.1723825,0.2748382,-0.2663161,0.8053399,895,-640,523
2642.738,0.2479375,-9.615114,0.7469909,0.2059013,0.2247708,-0.2769688,0.8021441,923,-620,502
2642.742,0.2518438,-9.677363,0.7038953,0.2537854,0.1640507,-0.2833603,0.8000136,921,-623,513
2642.746,0.25575,-9.77792,0.5650316,0.2920926,0.1225054,-0.278034,0.8000136,928,-613,480
2642.75,0.2596563,-9.77792,0.5410896,0.2825158,0.08522115,-0.2716424,0.793622,901,-634,506
2642.754,0.2635625,-9.878476,0.4357447,0.3256114,0.04900216,-0.2567287,0.7882957,884,-654,494
2642.758,0.2674688,-10.03649,0.4165911,0.3591302,0.007456851,-0.2407498,0.7797736,908,-642,513
2642.762,0.271375,-10.13226,0.3112462,0.344765,-0.01917476,-0.2343582,0.7680557,927,-632,519
2642.766,0.2752813,-10.27113,0.2633622,0.3064578,-0.0479369,-0.2279666,0.7584683,917,-602,500
2642.77,0.2791875,-10.56322,0.248997,0.4213795,-0.0777643,-0.2173139,0.7510114,896,-647,481
2642.773,0.2830938,-10.81221,0.2059013,0.4548983,-0.1214401,-0.185356,0.7350325,911,-650,516
2642.777,0.287,-11.1091,0.2011129,0.5315128,-0.169377,-0.1555286,0.7275756,914,-649,503
2642.781,0.2909063,-11.28148,0.08619126,0.7038953,-0.2130529,-0.1278317,0.7179882,911,-641,512
2642.785,0.2948125,-11.4778,0.06703765,1.16837,-0.2524677,-0.1075917,0.7084008,925,-641,506
2642.789,0.2987188,-11.48738,0.009576807,1.541866,-0.2993393,-0.1225054,0.6870956,898,-632,517
2642.793,0.302625,-11.44428,-0.1340753,1.848324,-0.3227751,-0.185356,0.6689861,914,-632,506
2642.797,0.3065313,-11.315,-0.296881,1.814805,-0.3430151,-0.2609898,0.6530071,890,-659,518
2642.801,0.3104375,-11.1905,-0.4405331,1.551443,-0.3547331,-0.3067962,0.6370281,889,-640,505
2642.805,0.3143438,-11.06121,-0.4884171,1.091756,-0.3483415,-0.2929477,0.6093313,878,-669,515
2642.809,0.31825,-10.89362,-0.344765,0.4740519,-0.3312972,-0.2492719,0.5784386,887,-620,479
2642.812,0.3221563,-10.74997,-0.1292869,-0.2873042,-0.3057309,-0.205596,0.5464807,872,-639,532
2642.816,0.3260625,-10.64462,0.2681506,-1.130063,-0.2929477,-0.1768339,0.5134575,918,-605,518
2642.82,0.3299688,-10.70208,0.5506664,-1.249773,-0.3195793,-0.1470065,0.4836301,899,-636,476
2642.824,0.333875,-10.817,0.8619126,-1.072602,-0.3579289,-0.1502023,0.4676511,920,-660,471
2642.828,0.3377813,-10.97023,1.120486,-0.6512229,-0.4079963,-0.1778992,0.4484763,905,-653,481
2642.832,0.3416875,-11.05163,1.388637,-0.3256114,-0.4601942,-0.2428803,0.4197142,903,-643,497
2642.836,0.3455938,-10.97981,1.575385,-0.06703765,-0.499609,-0.3589941,0.3856257,881,-648,472
2642.84,0.3495,-10.76912,1.747767,0.1053449,-0.4942827,-0.4282363,0.3621899,889,-624,509
2642.844,0.3534063,-10.56801,1.766921,0.1292869,-0.4687164,-0.4761732,0.3376888,903,-664,464
2642.848,0.3573125,-10.21366,1.695095,-0.09576807,-0.4367584,-0.4868258,0.3110572,902,-634,546
2642.852,0.3612188,-10.11311,1.513135,-0.3782839,-0.390952,-0.4410195,0.2759035,902,-662,509
2642.855,0.365125,-10.04607,1.312023,-0.4884171,-0.3739078,-0.3675162,0.2460761,883,-599,498
2642.859,0.3690313,-10.10353,1.043872,-0.5123592,-0.3781689,-0.2801645,0.2183792,868,-623,532
2642.863,0.3729375,-10.30464,0.6895301,-0.545878,-0.4122573,-0.2141182,0.1896171,882,-625,528
2642.867,0.3768438,-10.44351,0.5315128,-0.56982,-0.5028048,-0.1757686,0.1523328,902,-677,488
2642.871,0.38075,-10.35253,0.4261679,-0.6224924,-0.5933523,-0.1778992,0.1331581,902,-669,550
2642.875,0.3846563,-10.25197,0.4405331,-0.6703765,-0.6817692,-0.1928129,0.1214401,918,-601,501
2642.879,0.3885625,-10.05565,0.4788403,-0.6895301,-0.7584683,-0.1992044,0.1171791,913,-663,471
2642.883,0.3924688,-9.974244,0.5602432,-0.545878,-0.8245147,-0.1832255,0.1203749,899,-625,497
2642.887,0.396375,-10.0748,0.6320692,-0.3256114,-0.8511463,-0.1565939,0.1299623,921,-655,501
2642.891,0.4002813,-10.22324,0.6751649,-0.03830723,-0.8671253,-0.1267665,0.1384844,867,-653,476
2642.895,0.4041875,-10.36689,0.8283938,0.2442086,-0.882039,-0.108657,0.149137,876,-648,492
2642.898,0.4080938,-10.4052,0.842759,0.5075708,-0.90654,-0.1097222,0.165116,896,-643,538
2642.902,0.412,-10.29986,1.015142,0.5410896,-0.9321064,-0.1278317,0.1821602,903,-622,494
2642.906,0.4159063,-10.08917,1.077391,0.6033388,-0.9619338,-0.1502023,0.2002697,897,-656,514
2642.91,0.4198125,-9.878476,1.177947,0.6655881,-0.9906959,-0.169377,0.2247708,879,-647,483
2642.914,0.4237188,-9.768343,1.130063,0.7038953,-1.021589,-0.1725728,0.2684466,901,-642,539
2642.918,0.427625,-9.648633,1.173159,0.6607997,-1.036502,-0.1555286,0.3046656,916,-643,495
2642.922,0.4315313,-9.600749,1.206678,0.7661445,-1.042894,-0.1267665,0.3376888,927,-641,495
2642.926,0.4354375,-9.624691,1.206678,0.890643,-1.038633,-0.0958738,0.3728426,915,-665,501
2642.93,0.4393438,-9.773131,1.134852,0.9959879,-1.009871,-0.07030745,0.4143879,918,-662,539
2642.934,0.44325,-9.787496,1.158794,1.024718,-0.9757822,-0.06817692,0.4442153,909,-630,507
2642.938,0.4471563,-9.821015,1.225831,0.9768343,-0.9278453,-0.07350325,0.4687164,912,-635,480
2642.941,0.4510625,-9.648633,1.225831,0.8619126,-0.8447547,-0.1043959,0.5038701,912,-633,491
2642.945,0.4549688,-9.543288,1.187524,0.7230489,-0.7680557,-0.1331581,0.5336975,876,-602,503
2642.949,0.458875,-9.461885,1.268927,0.617704,-0.6860303,-0.1619202,0.5645902,912,-655,518
2642.953,0.4627813,-9.437943,1.28808,0.4740519,-0.6050702,-0.1896171,0.592287,916,-661,512
2642.957,0.4666875,-9.437943,1.326388,0.5027823,-0.5081311,-0.2098571,0.6199839,870,-641,505
2642.961,0.4705938,-9.514557,1.388637,0.56982,-0.4527374,-0.2290319,0.6338323,889,-637,485
2642.965,0.4745,-9.552865,1.484405,0.6272808,-0.4101268,-0.2428803,0.6423545,876,-635,514
2642.969,0.4784063,-9.639056,1.805228,0.6512229,-0.3781689,-0.2599245,0.6402239,887,-632,504
2642.973,0.4823125,-9.581595,2.097321,0.5602432,-0.3376888,-0.2918825,0.6348976,911,-642,487
2642.977,0.4862188,-9.533711,2.30801,0.4932055,-0.3004046,-0.3185141,0.6338323,866,-630,511
2642.98,0.490125,-9.471462,2.542642,0.3639187,-0.2631203,-0.3451457,0.6370281,879,-601,504
2642.984,0.4940313,-9.586383,2.719813,0.4213795,-0.2237055,-0.3632552,0.644485,855,-664,529
2642.988,0.4979375,-9.734824,2.801216,0.5793968,-0.1896171,-0.3802994,0.6551376,919,-645,485
2642.992,0.5018438,-9.974244,2.681506,0.7852981,-0.1800297,-0.3920173,0.6636597,904,-649,497
2642.996,0.50575,-10.04607,2.715025,1.010353,-0.1864213,-0.4154531,0.6625945,847,-645,488
2643,0.5096563,-10.05086,2.63841,1.120486,-0.2045308,-0.459129,0.6593987,908,-630,471
2643.004,0.5135625,-9.868899,2.604891,1.268927,-0.2450108,-0.5390238,0.6593987,884,-623,499
2643.008,0.5174688,-9.682152,2.604891,1.431733,-0.2854909,-0.5816344,0.6625945,879,-617,510
2643.012,0.521375,-9.437943,2.585738,1.661576,-0.3249057,-0.5976133,0.6679208,887,-656,495
2643.016,0.5252813,-9.370905,2.446874,2.087744,-0.3568636,-0.5784386,0.6743124,876,-629,499
2643.02,0.5291875,-9.351752,2.331952,2.446874,-0.3856257,-0.5166533,0.6817692,889,-639,520
2643.023,0.5330938,-9.433155,2.25055,2.647987,-0.3920173,-0.4474111,0.6828345,860,-666,514
2643.027,0.537,-9.586383,2.207454,2.72939,-0.40267,-0.3898868,0.680704,877,-670,523
2643.031,0.5409063,-9.619902,2.011129,2.719813,-0.4016047,-0.3419499,0.6817692,887,-615,495
2643.035,0.5448125,-9.624691,1.963245,2.63841,-0.40267,-0.3036004,0.684965,894,-649,499
2643.039,0.5487188,-9.643844,1.8579,2.513912,-0.4037352,-0.2833603,0.6924219,822,-620,514
2643.043,0.552625,-9.672575,1.762132,2.39899,-0.406931,-0.2641856,0.6988135,914,-660,490
2643.047,0.5565313,-9.840169,1.766921,2.27928,-0.4048005,-0.2535329,0.700944,890,-628,512
2643.051,0.5604375,-10.00297,1.781286,2.284068,-0.406931,-0.2524677,0.7020093,893,-658,504
2643.055,0.5643438,-10.12747,1.771709,2.217031,-0.4058658,-0.2641856,0.7020093,835,-668,494
2643.059,0.56825,-10.16578,1.728614,2.154781,-0.406931,-0.2812298,0.6998787,889,-671,527
2643.062,0.5721563,-10.13226,1.814805,2.03986,-0.4005394,-0.3057309,0.6913566,877,-648,505
2643.066,0.5760625,-9.983821,1.924938,1.958457,-0.4016047,-0.3526025,0.6828345,883,-632,496
2643.07,0.5799688,-9.907206,1.92015,1.929727,-0.40267,-0.3792341,0.6753777,855,-696,488
2643.074,0.583875,-9.797073,1.934515,1.872266,-0.4005394,-0.4005394,0.6711166,902,-634,516
2643.078,0.5877813,-9.696517,1.910573,1.900996,-0.3994742,-0.4101268,0.6679208,872,-671,492
2643.082,0.5916875,-9.710882,1.853112,1.958457,-0.3802994,-0.4016047,0.6593987,847,-628,517
2643.086,0.5955938,-9.691728,1.8579,2.001553,-0.3611246,-0.3813647,0.6530071,861,-686,477
2643.09,0.5995,-9.720459,1.8579,2.092532,-0.3430151,-0.3579289,0.6455502,886,-620,476
2643.094,0.6034063,-9.773131,1.8579,2.255338,-0.3259709,-0.334493,0.6380934,864,-658,515
2643.098,0.6073125,-9.888053,1.886631,2.327164,-0.3131877,-0.3067962,0.6231797,854,-672,454
2643.102,0.6112188,-9.950302,2.035071,2.384625,-0.3067962,-0.2886867,0.6103965,882,-628,497
2643.105,0.615125,-9.959879,2.154781,2.341529,-0.3057309,-0.2748382,0.5954828,827,-628,511
2643.109,0.6190313,-9.950302,2.355894,2.245761,-0.3078614,-0.2727077,0.5763081,931,-662,480
2643.113,0.6229375,-9.892841,2.446874,2.207454,-0.309992,-0.2705772,0.5571333,890,-679,490
2643.117,0.6268438,-9.825804,2.504335,2.116474,-0.3110572,-0.2748382,0.5454154,851,-676,521
2643.121,0.63075,-9.773131,2.652775,2.140416,-0.3185141,-0.2812298,0.535828,872,-671,472
2643.125,0.6346563,-9.744401,2.72939,2.126051,-0.3270362,-0.2886867,0.5305017,859,-644,493
2643.129,0.6385625,-9.624691,2.796428,2.149993,-0.3462109,-0.2897519,0.5230448,869,-645,468
2643.133,0.6424688,-9.600749,2.806004,2.164358,-0.3621899,-0.2918825,0.515588,892,-654,529
2643.137,0.646375,-9.600749,2.786851,2.15957,-0.3749731,-0.2929477,0.5123922,888,-641,538
2643.141,0.6502813,-9.600749,2.710236,2.197877,-0.3898868,-0.3004046,0.5102617,850,-670,473
2643.145,0.6541875,-9.56723,2.662352,2.221819,-0.4133226,-0.3121225,0.5102617,882,-641,499
2643.148,0.6580938,-9.548076,2.628833,2.197877,-0.4346279,-0.3238404,0.5049353,879,-653,475
2643.152,0.662,-9.351752,2.552219,2.173935,-0.4559332,-0.334493,0.5006743,904,-687,539
2643.156,0.6659063,-9.222465,2.466028,2.130839,-0.4846953,-0.350472,0.4942827,846,-637,517
2643.16,0.6698125,-9.165004,2.355894,2.078167,-0.5230448,-0.366451,0.4857606,874,-693,489
2643.164,0.6737188,-9.050082,2.30801,2.116474,-0.5464807,-0.3675162,0.4804343,895,-679,495
2643.168,0.677625,-9.011775,2.226608,2.078167,-0.5709817,-0.3611246,0.4740427,921,-639,472
2643.172,0.6815313,-8.992621,2.082955,2.173935,-0.5826996,-0.3472762,0.4644553,844,-685,518
2643.176,0.6854375,-8.959103,2.020706,2.221819,-0.5901565,-0.334493,0.4538026,867,-650,507
2643.18,0.6893438,-8.949526,1.92015,2.260126,-0.588026,-0.3270362,0.4463458,880,-609,518
2643.184,0.69325,-8.992621,1.838747,2.260126,-0.5826996,-0.3206446,0.4346279,906,-644,467
2643.188,0.6971563,-8.868123,1.733402,2.240973,-0.572047,-0.314253,0.4261058,851,-678,505
2643.191,0.7010625,-8.853758,1.666364,2.207454,-0.5528722,-0.3185141,0.4101268,853,-644,498
2643.195,0.7049688,-8.734048,1.58975,2.212242,-0.5390238,-0.3206446,0.4048005,857,-640,484
2643.199,0.708875,-8.676587,1.561019,2.226608,-0.5251754,-0.3195793,0.3984089,867,-634,489
2643.203,0.7127813,-8.619126,1.522712,2.255338,-0.515588,-0.3195793,0.3856257,883,-623,502
2643.207,0.7166875,-8.523358,1.527501,2.25055,-0.5006743,-0.3110572,0.3749731,887,-660,537
2643.211,0.7205938,-8.42759,1.503559,2.293645,-0.4857606,-0.3057309,0.3643204,908,-654,509
2643.215,0.7245,-8.30788,1.565808,2.221819,-0.4697816,-0.3110572,0.3557983,854,-666,502
2643.219,0.7284063,-8.178593,1.584961,2.164358,-0.4442153,-0.3121225,0.3515373,819,-646,504
2643.223,0.7323125,-8.178593,1.561019,2.097321,-0.4005394,-0.309992,0.3430151,847,-653,509
2643.227,0.7362188,-8.12592,1.527501,2.135628,-0.3600594,-0.3067962,0.334493,857,-688,493
2643.23,0.740125,-8.09719,1.580173,2.126051,-0.3089267,-0.2961435,0.3270362,870,-680,497
2643.234,0.7440313,-8.111555,1.584961,2.020706,-0.2545982,-0.2822951,0.3195793,896,-640,478
2643.238,0.7479375,-8.063671,1.671153,1.987187,-0.1778992,-0.2684466,0.3174488,892,-680,515
